idx,sec,nanosec,t,x,y,z,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
77,1786799105,246524329,1786799105.246524,-11.599999894780087,-1.9999850250714732,0.08311343584059439,0.0,0.0,0.0,1.0,-1.6124098287165526e-07,-1.1997073733439051e-08,0.0,0.0,0.0,0.0
78,1786799105,281655979,1786799105.281656,-11.599999898317959,-1.9999850253667575,0.08311439581728726,0.0,0.0,0.0,1.0,-4.929590784449461e-08,-2.5394624485841098e-09,0.0,0.0,0.0,0.0
79,1786799105,311884455,1786799105.311884,-11.599999899399217,-1.9999850256695826,0.08311498259920246,0.0,0.0,0.0,1.0,-1.865818672090857e-08,-1.4382102638146675e-08,0.0,0.0,0.0,0.0
80,1786799105,345797722,1786799105.345798,-11.599999899460336,-1.9999850263591596,0.08311515497505863,0.0,0.0,0.0,1.0,1.1922876582813272e-08,-2.577707992302966e-08,0.0,0.0,0.0,0.0
81,1786799105,380600721,1786799105.380601,-11.599999898503043,-1.9999850274054487,0.08311484112576027,0.0,0.0,0.0,1.0,4.245772557965043e-08,-3.2223206192780076e-08,0.0,0.0,0.0,0.0
82,1786799105,414174748,1786799105.414175,-11.599999896529091,-1.9999850278467364,0.08311400390991207,0.0,0.0,0.0,1.0,7.293482396424288e-08,2.351359098972979e-09,0.0,0.0,0.0,0.0
83,1786799105,445242535,1786799105.445243,-11.59999989371885,-1.9999850271165505,0.08311274580342654,0.0,0.0,0.0,1.0,9.514586045282173e-08,3.75425220565495e-08,0.0,0.0,0.0,0.0
84,1786799105,480387096,1786799105.480387,-11.599999890087066,-1.999985025272668,0.08311132599173472,0.0,0.0,0.0,1.0,1.1824885869281214e-07,6.930307927164548e-08,0.0,0.0,0.0,0.0
85,1786799105,513477732,1786799105.513478,-11.599999886936544,-1.9999850226564218,0.08310991469481138,0.0,0.0,0.0,1.0,2.251004652528525e-08,7.507937070110358e-08,0.0,0.0,0.0,0.0
86,1786799105,547516019,1786799105.547516,-11.599999889831185,-1.9999850204438185,0.08310852915356916,0.0,0.0,0.0,1.0,-1.7272036762668514e-07,5.9533897033182634e-08,0.0,0.0,0.0,0.0
87,1786799105,579500074,1786799105.579500,-11.599999896834426,-1.9999850187193526,0.08310721840517413,0.0,0.0,0.0,1.0,-1.9698375524033337e-07,4.591034902264487e-08,0.0,0.0,0.0,0.0
88,1786799105,612464050,1786799105.612464,-11.59999990205629,-1.999985017484478,0.08310614453410009,0.0,0.0,0.0,1.0,-9.915964157415532e-08,2.5615353365288638e-08,0.0,0.0,0.0,0.0
89,1786799105,646411752,1786799105.646412,-11.59999990440012,-1.9999850168400815,0.08310535072155009,0.0,0.0,0.0,1.0,-5.667981744430423e-08,1.6050798479270724e-08,0.0,0.0,0.0,0.0
90,1786799105,681583110,1786799105.681583,-11.599999905735215,-1.999985016433972,0.08310487994361244,0.0,0.0,0.0,1.0,-2.6481576744151332e-08,9.093967798203296e-09,0.0,0.0,0.0,0.0
91,1786799105,711598904,1786799105.711599,-11.599999906066758,-1.9999850162512045,0.08310477384707902,0.0,0.0,0.0,1.0,3.5599951402298623e-09,2.5902849380389938e-09,0.0,0.0,0.0,0.0
92,1786799105,745693542,1786799105.745693,-11.599999905399786,-1.9999850162771036,0.08310503820535456,0.0,0.0,0.0,1.0,3.344620277716983e-08,-3.459549258860079e-09,0.0,0.0,0.0,0.0
93,1786799105,780684759,1786799105.780685,-11.5999999037394,-1.9999850164968809,0.08310566074164746,0.0,0.0,0.0,1.0,6.318545149741985e-08,-9.086527701808987e-09,0.0,0.0,0.0,0.0
94,1786799105,814055328,1786799105.814055,-11.599999901090719,-1.9999850168957531,0.08310660268457047,0.0,0.0,0.0,1.0,9.277027524516877e-08,-1.4264200126066746e-08,0.0,0.0,0.0,0.0
95,1786799105,844992641,1786799105.844993,-11.599999898507017,-1.9999850168813254,0.08310776713308557,0.0,0.0,0.0,1.0,7.214711480637163e-08,7.861233570836085e-09,0.0,0.0,0.0,0.0
96,1786799105,880265351,1786799105.880265,-11.599999895720588,-1.9999850166822768,0.083109022171922,0.0,0.0,0.0,1.0,9.321386983795709e-08,4.390336617544127e-09,0.0,0.0,0.0,0.0
97,1786799105,913846828,1786799105.913847,-11.599999892132335,-1.9999850166106343,0.08311026320470058,0.0,0.0,0.0,1.0,1.1978713081939734e-07,8.462000670270549e-10,0.0,0.0,0.0,0.0
98,1786799105,948115815,1786799105.948116,-11.599999888261,-1.999985016038262,0.08311139541241463,0.0,0.0,0.0,1.0,6.764335459755699e-08,2.5079111059948494e-08,0.0,0.0,0.0,0.0
99,1786799105,979833781,1786799105.979834,-11.599999889815635,-1.999985015274218,0.08311230692354121,0.0,0.0,0.0,1.0,-1.3666744430277276e-07,2.1535109793161462e-08,0.0,0.0,0.0,0.0
100,1786799106,12980655,1786799106.012981,-11.599999896872193,-1.9999850143809281,0.08311291790903705,0.0,0.0,0.0,1.0,-2.2120119643461916e-07,4.140626404332356e-08,0.0,0.0,0.0,0.0
101,1786799106,46986103,1786799106.046986,-11.599999903698821,-1.9999850128935748,0.08311318628444551,0.0,0.0,0.0,1.0,-1.9138919802559887e-07,4.363265695589798e-08,0.0,0.0,0.0,0.0
102,1786799106,81890379,1786799106.081890,-11.599999909528943,-1.9999850114755713,0.08311309124799682,0.0,0.0,0.0,1.0,-1.614205319495188e-07,4.171637962501841e-08,0.0,0.0,0.0,0.0
103,1786799106,112094718,1786799106.112095,-11.599999914357074,-1.9999850101141108,0.08311264395430279,0.0,0.0,0.0,1.0,-1.3128608054624628e-07,4.0187774439289785e-08,0.0,0.0,0.0,0.0
104,1786799106,146155880,1786799106.146156,-11.599999918177993,-1.999985008797006,0.08311194908993752,0.0,0.0,0.0,1.0,-1.0099263891248578e-07,3.9029290912276485e-08,0.0,0.0,0.0,0.0
105,1786799106,181571454,1786799106.181571,-11.599999920986386,-1.9999850075118588,0.08311112686687541,0.0,0.0,0.0,1.0,-7.054335825970762e-08,3.823615987597664e-08,0.0,0.0,0.0,0.0
106,1786799106,214732983,1786799106.214733,-11.599999922776755,-1.9999850062456874,0.08311024180694838,0.0,0.0,0.0,1.0,-3.992660331255133e-08,3.783943559675475e-08,0.0,0.0,0.0,0.0
107,1786799106,245570728,1786799106.245571,-11.599999923543688,-1.9999850049857142,0.08310937009848048,0.0,0.0,0.0,1.0,-9.14308556173313e-09,3.783659770303821e-08,0.0,0.0,0.0,0.0
108,1786799106,281549814,1786799106.281550,-11.599999923281718,-1.9999850037189941,0.0831085873390402,0.0,0.0,0.0,1.0,2.1798034953439174e-08,3.8207029046690916e-08,0.0,0.0,0.0,0.0
109,1786799106,314017016,1786799106.314017,-11.599999921985324,-1.9999850024324761,0.08310795107680391,0.0,0.0,0.0,1.0,5.2906997211462094e-08,3.897378166160341e-08,0.0,0.0,0.0,0.0
110,1786799106,344841118,1786799106.344841,-11.59999991964905,-1.9999850017893057,0.08310750286521404,0.0,0.0,0.0,1.0,8.418554734661039e-08,-4.25882206321344e-10,0.0,0.0,0.0,0.0
111,1786799106,380130140,1786799106.380130,-11.599999916267345,-1.9999850025876886,0.083107255888066,0.0,0.0,0.0,1.0,1.1562313818895287e-07,-3.945293109274465e-08,0.0,0.0,0.0,0.0
112,1786799106,413515289,1786799106.413515,-11.599999911834637,-1.999985003868128,0.08310722716607802,0.0,0.0,0.0,1.0,1.472313384300997e-07,-3.75129286618343e-08,0.0,0.0,0.0,0.0
113,1786799106,447866162,1786799106.447866,-11.599999906345063,-1.9999850050758468,0.08310726928064703,0.0,0.0,0.0,1.0,1.7902918621385337e-07,-3.5119516624351794e-08,0.0,0.0,0.0,0.0
114,1786799106,479521090,1786799106.479521,-11.599999899792666,-1.999985006196867,0.08310723701903242,0.0,0.0,0.0,1.0,2.109874171688874e-07,-3.23577482243096e-08,0.0,0.0,0.0,0.0
115,1786799106,512961104,1786799106.512961,-11.59999989217197,-1.9999850072186656,0.08310719316744544,0.0,0.0,0.0,1.0,2.4311204757339104e-07,-2.9214171562189827e-08,0.0,0.0,0.0,0.0
116,1786799106,547188321,1786799106.547188,-11.59999988347753,-1.9999850080385688,0.08310717735929374,0.0,0.0,0.0,1.0,2.754100768384396e-07,-1.2148925011461755e-08,0.0,0.0,0.0,0.0
117,1786799106,582258835,1786799106.582259,-11.599999875833886,-1.999985007545174,0.08310696743450943,0.0,0.0,0.0,1.0,1.480719590371129e-07,3.692783859670627e-08,0.0,0.0,0.0,0.0
118,1786799106,612065683,1786799106.612066,-11.599999874485992,-1.9999850054084778,0.0831064031124783,0.0,0.0,0.0,1.0,-4.7602290644842045e-08,8.639002397621079e-08,0.0,0.0,0.0,0.0
119,1786799106,646369847,1786799106.646370,-11.59999987983882,-1.999985001707741,0.08310580209601534,0.0,0.0,0.0,1.0,-2.6942348243115424e-07,1.2263845618482344e-07,0.0,0.0,0.0,0.0
120,1786799106,681234746,1786799106.681235,-11.59999989488547,-1.999984997545042,0.08310545662448893,0.0,0.0,0.0,1.0,-5.864369084165144e-07,1.2311074432927249e-07,0.0,0.0,0.0,0.0
121,1786799106,711555040,1786799106.711555,-11.599999916321845,-1.9999849941701513,0.08310544845626391,0.0,0.0,0.0,1.0,-6.914126441883818e-07,8.343327868708559e-08,0.0,0.0,0.0,0.0
122,1786799106,745560687,1786799106.745561,-11.599999941324135,-1.9999849921100612,0.08310569631424135,0.0,0.0,0.0,1.0,-7.539236964115663e-07,4.418659005640835e-08,0.0,0.0,0.0,0.0
123,1786799106,781018254,1786799106.781018,-11.5999999640433,-1.9999849913505463,0.08310608538822845,0.0,0.0,0.0,1.0,-6.152052502370976e-07,5.347370147438939e-09,0.0,0.0,0.0,0.0
124,1786799106,814364571,1786799106.814365,-11.59999998133814,-1.999984991877634,0.08310660662247948,0.0,0.0,0.0,1.0,-4.3289033250455846e-07,-3.307403086133402e-08,0.0,0.0,0.0,0.0
125,1786799106,845235603,1786799106.845236,-11.599999991651472,-1.999984993678194,0.0831073304761367,0.0,0.0,0.0,1.0,-2.039664545201724e-07,-7.109706767360033e-08,0.0,0.0,0.0,0.0
126,1786799106,880227210,1786799106.880227,-11.599999994052165,-1.9999849967390335,0.08310827291703174,0.0,0.0,0.0,1.0,3.665256864202902e-08,-1.0873541709812102e-07,0.0,0.0,0.0,0.0
127,1786799106,913325647,1786799106.913326,-11.599999988955798,-1.999985000086351,0.08310934688959427,0.0,0.0,0.0,1.0,2.2084846104028965e-07,-4.992518315802262e-08,0.0,0.0,0.0,0.0
128,1786799106,947690552,1786799106.947690,-11.599999979480694,-1.9999849999374433,0.08311042053134292,0.0,0.0,0.0,1.0,3.361192089652743e-07,3.6245934660458507e-08,0.0,0.0,0.0,0.0
129,1786799106,979543615,1786799106.979544,-11.599999966065571,-1.9999849979096533,0.08311139500947705,0.0,0.0,0.0,1.0,4.606836667974737e-07,7.48296195411242e-08,0.0,0.0,0.0,0.0
130,1786799107,12804442,1786799107.012805,-11.599999947299644,-1.9999849954413191,0.08311220080731171,0.0,0.0,0.0,1.0,6.684733566378255e-07,7.675276410901619e-08,0.0,0.0,0.0,0.0
131,1786799107,47227033,1786799107.047227,-11.599999920332621,-1.9999849927994764,0.08311275003773105,0.0,0.0,0.0,1.0,9.242774752088996e-07,7.278139443221597e-08,0.0,0.0,0.0,0.0
132,1786799107,79467199,1786799107.079467,-11.599999886949607,-1.9999849910186727,0.08311291972344131,0.0,0.0,0.0,1.0,1.0215048749116133e-06,3.7664391527205987e-08,0.0,0.0,0.0,0.0
133,1786799107,112748182,1786799107.112748,-11.599999853489322,-1.999984990400404,0.08311266699064013,0.0,0.0,0.0,1.0,9.378819900534797e-07,2.9657739642595e-09,0.0,0.0,0.0,0.0
